Well,RMSE,MAE,R2
Ground Water Level_Bad dhamsya,2.1502613543763456,1.1957047662823528,0.36773430525980166
Ground Water Level_Balaji nagar,2.0300644868168334,1.2188847097960658,0.047284592442740636
Ground Water Level_Bassi2_1,1.8596164677547116,1.1525046881791876,-0.004581870798183729
Ground Water Level_Budhpura_imd_1,0.8484897699709671,0.8039466827808086,-1.9846575257730419
Ground Water Level_Cgwb campus jaipur_1,0.34059731956831485,0.2654568174041379,0.4246372031002478
Ground Water Level_Chhaprari_1,55.63592463339566,11.102139297608673,-3013.7219420173
Ground Water Level_Chhapura khurd,0.5160531571449243,0.4464282182777452,-0.48555574560117476
Ground Water Level_Chhardara,1.527980639478923,0.8914038594021129,-0.2885149661342241
Ground Water Level_Chirota_1,0.22609528751278996,0.22326365329077502,0.9358164189008058
Ground Water Level_Datal gurjran_1,0.09042680337230892,0.05730153980923468,0.9658918664123884
Ground Water Level_Dawach1 (dabich),0.38622478239420793,0.3087970263138079,0.9383255677985837
Ground Water Level_Dhandoli_1,0.17213420418294675,0.13883782567896508,0.9660038193877224
Ground Water Level_Dhaulai,1.333928872310628,1.3275566181332528,-58.23165403083294
Ground Water Level_Dhodsar_1,0.11331179225497855,0.06824802329848041,0.8087050494977619
Ground Water Level_Dragplapura,1.0326660029754706,1.0155387655631178,-33.165794468644535
Ground Water Level_Durgapura_1,0.04567181761563598,0.04262823463499577,0.4593195281168888
Ground Water Level_Hastera1_1,147.68181629381053,101.1658028286186,-59.23203311740468
Ground Water Level_Hathoj,0.46457631139520666,0.4589399529798212,-30.034664532306444
Ground Water Level_Jaisinghpura_2,5.931168704294446,5.526496491085166,0.16945989029189634
Ground Water Level_Jaisingpur khor_1,2.8842588580466653,2.452913004915026,-1.1046180547226188
Ground Water Level_Jhag_1,0.11721676640912933,0.08069654507696955,0.97883933329666
Ground Water Level_Jhotwara1_1,0.6015046413753301,0.5889703973720972,-5.758076238509629
Ground Water Level_Kaladera2_1,2.565508649483137,0.6685298673757322,-0.036822938224279955
Ground Water Level_Khejroli-pz_1,2.9158334351690156,0.5237626924026366,0.005426033800822738
Ground Water Level_Luniawas,0.647574954902362,0.4544378296143229,0.76842940295998
Ground Water Level_Madhopura_1,0.14663766295956457,0.13114292111072556,-2.420889429625644
Ground Water Level_Malawala_1,1.0187515880596159,0.9817590187085146,-1.2129836338498747
Ground Water Level_Mamana,1.3909622736054719,1.390962273605429,0.0
Ground Water Level_Mansarovar cgwb_1,0.19218232149492837,0.15813810632744488,0.6728133637493834
Ground Water Level_Mes jaipur_1,0.4450829964246004,0.43283852049960947,-10.977006254470393
Ground Water Level_Mohana_2,0.10019484040241161,0.018782859449794995,0.5809357374671691
Ground Water Level_Mohanpur balaji_1,0.20483367852756568,0.1727008514625108,0.9171685410331561
Ground Water Level_Muhana_1,0.3568224575902707,0.20967145208899732,0.9136857162616363
Ground Water Level_N.purohitan,0.2050588165376742,0.19018523650956196,0.05006709889553895
Ground Water Level_Raghunathpura_pz_1,0.6764421815159227,0.5617601310967612,0.4727422583971609
Ground Water Level_Rojda_1,1.6094072160500923,1.3464159348582965,0.37185817835478774
Ground Water Level_Shri jagdishpura,0.24856023508356162,0.2241392118092485,0.9138889528933712
Ground Water Level_Tigaria_1,6.529819327115226,6.238000713280285,-5.782436447329935
Ground Water Level_Tigriya,0.5976811232270972,0.5210616814309821,0.7275613002070869
Ground Water Level_Trilokinathpura,2.9680674704934153,1.8093303455338303,0.7659209847809492
